,Page,Title,Price,Location,Beds,Baths,Area,Badge,Date Added,URL
51,3,"Brand New 10 Marla Luxury House For Sale Prime Location, B-17 B-1 Block",PKR 5.5 Crore,"MPCHS - Block B, MPCHS - Multi Gardens",7.0,6.0,10 Marla,super hot,Added: 5 hours ago,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_brand_new_10_marla_luxury_house_for_sale_prime_location_b-17_b-1_block-53357265-3117-1.html
52,3,Dha2 One Kanal Brand New Designer House,PKR 13.5 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,super hot,Added: 5 hours ago,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha2_one_kanal_brand_new_designer_house-52506804-339-1.html
53,3,PHA Flat I-12 D-Type Available For Sale,PKR 70 Lakh,"I-12/1, I-12",2.0,2.0,3.9 Marla,super hot,Added: 5 hours ago,https://www.zameen.com/Property/i_12_i-12_1_pha_flat_i-12_d-type_available_for_sale-49054448-13800-1.html
54,3,4 Bedrooms For Sale In DHA Phase 5 Askari Tower 4 Good Location And Brand-New,PKR 3.75 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",4.0,5.0,150 Kanal,super hot,Added: 6 hours ago,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_4_bedrooms_for_sale_in_dha_phase_5_askari_tower_4_good_location_and_brand-new-53357212-21450-1.html
55,3,1 Kanal Single Story House Available For Sale In CDA Sector D-17 Islamabad,PKR 3.6 Crore,"D-17, Islamabad",4.0,4.0,1 Kanal,super hot,Added: 7 hours ago,https://www.zameen.com/Property/islamabad_d-17_1_kanal_single_story_house_available_for_sale_in_cda_sector_d-17_islamabad-53336312-737-1.html
56,3,15 Marla House For Sale In Bani Gala,PKR 6 Crore,"Bani Gala, Islamabad",5.0,5.0,15 Marla,super hot,Added: 8 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_15_marla_house_for_sale_in_bani_gala-53356328-340-1.html
57,3,10 Marla House For Sale In Bani Gala,PKR 4 Crore,"Bani Gala, Islamabad",5.0,5.0,10 Marla,super hot,Added: 8 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_house_for_sale_in_bani_gala-53172410-340-1.html
58,3,10 Marla House For Sale,PKR 4.6 Crore,"Bani Gala, Islamabad",5.0,6.0,10 Marla,super hot,Added: 8 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_house_for_sale-53172417-340-1.html
59,3,PRIME LOCATION HOUSE,PKR 3.2 Crore,"Faisal Town - F-18, Islamabad",4.0,6.0,8 Marla,super hot,Added: 8 hours ago,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_prime_location_house-53133539-8260-1.html
60,3,5 Marla Beautiful House Available For Sale In DHA Phase 5 Islamabad,PKR 3.6 Crore,"DHA Defence Phase 5, DHA Defence",4.0,5.0,5 Marla,hot,Added: 3 hours ago,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_5_marla_beautiful_house_available_for_sale_in_dha_phase_5_islamabad-52971641-10991-1.html
